conversation_id,agent_name,agent_domain,department_industry,query_type,conversation_date,resolution_time_sec,resolution_status,escalated,customer_satisfaction,tokens_used,cost_per_conversation_usd,response_consistency_score,repetitive_response_flag
CONV004319,HRQueryBot,HR Queries,Telecom,Onboarding Help,2025-01-02 00:17:00,106.3,Escalated,Yes,3.0,500,0.0234,74.0,No
CONV003422,OmniAssist-2,Customer Support,Telecom,Order Issue,2025-01-02 01:01:00,127.0,Resolved,No,4.9,945,0.0556,86.6,No
CONV009716,SalesAssist-Pro,Sales Assistance,EdTech,Discount Inquiry,2025-01-02 01:39:00,68.9,Resolved,No,4.9,494,0.0328,91.5,No
CONV008781,HRQueryBot,HR Queries,Banking,Payroll Question,2025-01-02 02:45:00,89.7,Resolved,No,4.3,80,0.0237,81.1,No
CONV004295,SupportBot-v4,Customer Support,E-commerce,Delivery Delay,2025-01-02 03:15:00,57.8,Resolved,No,4.7,166,0.0291,94.0,No
CONV003095,IT-Legacy-Bot,IT Helpdesk,Telecom,Hardware Request,2025-01-02 03:17:00,70.9,Resolved,No,2.6,804,0.0423,75.6,No
CONV009139,HR-FAQ-Agent,HR Queries,Logistics,Leave Balance,2025-01-02 03:32:00,50.3,Escalated,Yes,3.3,326,0.0342,74.5,No
CONV001536,HR-FAQ-Agent,HR Queries,E-commerce,Policy Clarification,2025-01-02 05:36:00,97.6,Resolved,No,4.1,316,0.039,80.0,No
CONV004444,KnowledgeFinder-X,Internal Knowledge Search,E-commerce,Process Question,2025-01-02 06:20:00,25.7,Resolved,No,4.6,517,0.0385,92.2,No
CONV008458,SalesAssist-Pro,Sales Assistance,Logistics,Discount Inquiry,2025-01-02 06:35:00,38.6,Resolved,No,4.7,298,0.0325,93.5,No
CONV005435,KnowledgeFinder-X,Internal Knowledge Search,Manufacturing,Compliance Query,2025-01-02 07:01:00,83.0,Resolved,No,4.9,378,0.0393,94.6,No
CONV002501,SalesAssist-Lite,Sales Assistance,Healthcare,Product Recommendation,2025-01-02 07:04:00,38.1,Resolved,No,3.5,746,0.0533,81.9,No
CONV002402,SupportBot-v3,Customer Support,Telecom,Refund Request,2025-01-02 07:42:00,82.2,Resolved,No,3.3,587,0.0373,91.9,No
CONV009095,HR-FAQ-Agent,HR Queries,Retail,Payroll Question,2025-01-02 10:36:00,25.9,Resolved,No,3.4,189,0.034,77.1,No
CONV006540,SchedulerBot,Appointment Scheduling,Manufacturing,Reschedule,2025-01-02 10:47:00,294.6,Resolved,No,4.5,410,0.0329,93.5,No
CONV000052,ITHelpDesk-AI,IT Helpdesk,Retail,Software Bug,2025-01-02 10:49:00,61.1,Escalated,Yes,2.1,443,0.0369,82.1,No
CONV006005,HRQueryBot,HR Queries,Telecom,Payroll Question,2025-01-02 12:40:00,141.8,Resolved,No,4.2,329,0.0376,82.4,Yes
CONV006535,SupportBot-v4,Customer Support,Banking,General Inquiry,2025-01-02 13:44:00,233.1,Resolved,No,4.4,741,0.0307,99.7,No
CONV003557,SupportBot-v4,Customer Support,EdTech,Order Issue,2025-01-02 13:47:00,21.5,Resolved,No,4.5,681,0.0343,92.9,No
CONV003809,ITHelpDesk-AI,IT Helpdesk,Healthcare,Hardware Request,2025-01-02 13:53:00,36.6,Resolved,No,3.4,552,0.0414,88.3,Yes
CONV009533,KnowledgeFinder-Lite,Internal Knowledge Search,Logistics,Compliance Query,2025-01-02 14:04:00,23.6,Resolved,No,4.3,320,0.0207,77.5,No
CONV004533,SalesAssist-Lite,Sales Assistance,E-commerce,Discount Inquiry,2025-01-02 14:35:00,375.7,Resolved,No,3.7,870,0.0557,81.1,No
CONV003713,SchedulerBot,Appointment Scheduling,Telecom,Cancellation,2025-01-02 14:39:00,15.0,Resolved,No,5.0,166,0.0291,93.6,No
CONV001621,KnowledgeFinder-Lite,Internal Knowledge Search,EdTech,Policy Lookup,2025-01-02 14:53:00,77.2,Resolved,No,3.3,1225,0.0674,80.6,No
CONV006909,SupportBot-v4,Customer Support,Banking,Product Complaint,2025-01-02 15:16:00,16.0,Resolved,No,3.7,379,0.0353,91.2,No
CONV004930,KnowledgeFinder-Lite,Internal Knowledge Search,Retail,Process Question,2025-01-02 15:32:00,165.8,Resolved,No,4.3,834,0.0428,96.0,No
CONV007286,HR-FAQ-Agent,HR Queries,Logistics,Leave Balance,2025-01-02 15:54:00,87.9,Resolved,No,4.1,1149,0.0588,83.2,No
CONV008455,ITHelpDesk-AI,IT Helpdesk,Manufacturing,Network Issue,2025-01-02 18:17:00,151.7,Escalated,Yes,2.6,778,0.0402,73.5,Yes
CONV005562,SupportBot-v4,Customer Support,Telecom,Delivery Delay,2025-01-02 18:41:00,15.0,Resolved,No,5.0,323,0.0212,90.1,No
CONV009697,SalesAssist-Pro,Sales Assistance,Logistics,Lead Qualification,2025-01-02 19:13:00,17.3,Resolved,No,4.6,270,0.0234,88.2,No
CONV003627,ITHelpDesk-AI,IT Helpdesk,Banking,Software Bug,2025-01-02 19:21:00,30.6,Resolved,No,4.0,93,0.0154,80.8,No
CONV002590,ITHelpDesk-AI,IT Helpdesk,Retail,Password Reset,2025-01-02 21:16:00,97.1,Resolved,No,3.9,377,0.0264,74.5,No
CONV007808,SalesAssist-Pro,Sales Assistance,Retail,Lead Qualification,2025-01-02 21:49:00,94.9,Resolved,No,4.1,1192,0.0512,93.1,No
CONV006696,HRQueryBot,HR Queries,Logistics,Policy Clarification,2025-01-02 22:45:00,81.9,Resolved,No,4.5,157,0.0256,97.5,No
CONV006579,SalesAssist-Pro,Sales Assistance,Logistics,Pricing Question,2025-01-02 22:51:00,130.9,Resolved,No,4.8,1139,0.0587,89.0,No
CONV000342,SalesAssist-Lite,Sales Assistance,Retail,Discount Inquiry,2025-01-02 23:13:00,268.1,Resolved,No,3.9,324,0.0402,81.4,No
CONV008978,KnowledgeFinder-X,Internal Knowledge Search,E-commerce,Process Question,2025-01-02 23:47:00,34.2,Resolved,No,5.0,1458,0.0509,83.8,No
CONV008910,SalesAssist-Pro,Sales Assistance,E-commerce,Lead Qualification,2025-01-03 00:53:00,15.0,Resolved,No,4.2,180,0.0263,83.3,No
CONV004063,OmniAssist-2,Customer Support,Telecom,Refund Request,2025-01-03 01:17:00,204.9,Resolved,No,4.6,543,0.027,100.0,No
CONV009148,OmniAssist-2,Customer Support,Healthcare,Delivery Delay,2025-01-03 01:59:00,91.8,Resolved,No,4.8,528,0.0317,81.6,No
CONV008367,KnowledgeFinder-Lite,Internal Knowledge Search,EdTech,Process Question,2025-01-03 02:35:00,131.8,Resolved,No,3.7,409,0.0282,83.0,No
CONV003984,SalesAssist-Pro,Sales Assistance,Logistics,Product Recommendation,2025-01-03 03:17:00,183.7,Resolved,No,4.0,132,0.0215,90.6,No
CONV006840,KnowledgeFinder-Lite,Internal Knowledge Search,Banking,Policy Lookup,2025-01-03 03:42:00,194.9,Resolved,No,3.1,661,0.034,86.0,No
CONV005866,KnowledgeFinder-Lite,Internal Knowledge Search,Banking,Policy Lookup,2025-01-03 04:41:00,64.5,Resolved,No,3.4,779,0.0413,78.2,Yes
CONV003838,HR-FAQ-Agent,HR Queries,Logistics,Onboarding Help,2025-01-03 04:51:00,19.3,Pending,No,4.1,305,0.0339,93.7,No
CONV007514,KnowledgeFinder-X,Internal Knowledge Search,Logistics,Process Question,2025-01-03 04:58:00,82.0,Resolved,No,5.0,700,0.0348,86.1,No
CONV003963,HR-FAQ-Agent,HR Queries,Logistics,Onboarding Help,2025-01-03 05:16:00,29.9,Resolved,No,3.4,117,0.0209,87.0,No
CONV006893,SchedulerBot,Appointment Scheduling,Telecom,Reschedule,2025-01-03 08:27:00,76.0,Pending,No,4.7,252,0.017,87.8,No
CONV001508,ITHelpDesk-AI,IT Helpdesk,Manufacturing,Network Issue,2025-01-03 11:56:00,71.3,Resolved,No,2.9,621,0.039,86.9,No
CONV006281,KnowledgeFinder-X,Internal Knowledge Search,EdTech,Process Question,2025-01-03 14:08:00,32.5,Resolved,No,4.8,215,0.0196,89.4,No
CONV000585,HRQueryBot,HR Queries,Manufacturing,Payroll Question,2025-01-03 14:17:00,48.1,Resolved,No,3.6,197,0.0312,88.5,No
CONV006194,HRQueryBot,HR Queries,Healthcare,Onboarding Help,2025-01-03 15:07:00,121.0,Escalated,Yes,2.8,406,0.0209,84.9,No
CONV005132,SalesAssist-Pro,Sales Assistance,E-commerce,Discount Inquiry,2025-01-03 16:06:00,111.5,Escalated,Yes,2.2,261,0.0305,85.1,No
CONV007617,SalesAssist-Pro,Sales Assistance,Retail,Pricing Question,2025-01-03 17:26:00,133.9,Resolved,No,4.1,408,0.0412,86.1,No
CONV001908,SalesAssist-Pro,Sales Assistance,Telecom,Discount Inquiry,2025-01-03 18:19:00,164.7,Escalated,Yes,3.6,156,0.0337,98.5,No
CONV005796,SchedulerBot,Appointment Scheduling,Manufacturing,Cancellation,2025-01-03 18:21:00,37.0,Pending,No,5.0,207,0.0254,89.4,No
CONV005949,KnowledgeFinder-Lite,Internal Knowledge Search,Banking,Document Search,2025-01-03 18:35:00,133.9,Resolved,No,3.3,202,0.0315,87.5,No
CONV006772,KnowledgeFinder-X,Internal Knowledge Search,E-commerce,Process Question,2025-01-03 18:42:00,30.9,Resolved,No,4.5,651,0.0344,95.2,No
CONV006170,KnowledgeFinder-X,Internal Knowledge Search,E-commerce,Compliance Query,2025-01-03 18:47:00,55.8,Resolved,No,4.1,508,0.0428,95.7,No
CONV007045,HRQueryBot,HR Queries,EdTech,Payroll Question,2025-01-03 20:28:00,48.9,Resolved,No,3.9,528,0.0271,84.9,No
CONV009276,KnowledgeFinder-X,Internal Knowledge Search,Retail,Policy Lookup,2025-01-03 20:50:00,134.4,Resolved,No,5.0,120,0.0266,88.5,No
CONV002527,HR-FAQ-Agent,HR Queries,Telecom,Onboarding Help,2025-01-03 21:33:00,15.0,Pending,No,3.7,302,0.0356,80.7,No
CONV005927,IT-Legacy-Bot,IT Helpdesk,EdTech,Network Issue,2025-01-03 21:36:00,97.0,Resolved,No,3.6,195,0.0244,75.6,No
CONV009330,HRQueryBot,HR Queries,E-commerce,Onboarding Help,2025-01-03 21:49:00,76.2,Resolved,No,4.3,202,0.0177,91.7,No
CONV003607,SupportBot-v4,Customer Support,Telecom,Delivery Delay,2025-01-03 22:02:00,30.0,Resolved,No,5.0,212,0.0154,82.4,No
CONV003819,KnowledgeFinder-X,Internal Knowledge Search,Telecom,Process Question,2025-01-03 22:04:00,59.2,Resolved,No,4.1,140,0.0325,85.1,No
CONV004220,ITHelpDesk-AI,IT Helpdesk,Manufacturing,Password Reset,2025-01-03 22:38:00,167.4,Resolved,No,3.2,380,0.0388,76.8,No
CONV008497,HR-FAQ-Agent,HR Queries,Logistics,Leave Balance,2025-01-04 01:01:00,28.4,Resolved,No,3.9,704,0.0462,85.2,No
CONV002745,KnowledgeFinder-Lite,Internal Knowledge Search,Manufacturing,Compliance Query,2025-01-04 01:02:00,83.4,Resolved,No,3.8,503,0.0305,85.6,No
CONV008753,SchedulerBot,Appointment Scheduling,Telecom,Reschedule,2025-01-04 01:16:00,35.5,Resolved,No,4.8,137,0.0198,95.7,No
CONV005141,HR-FAQ-Agent,HR Queries,Retail,Leave Balance,2025-01-04 02:05:00,76.1,Resolved,No,3.8,1247,0.0598,79.3,No
CONV003831,SalesAssist-Pro,Sales Assistance,EdTech,Product Recommendation,2025-01-04 03:26:00,83.1,Resolved,No,4.2,432,0.0235,87.0,No
CONV007755,HRQueryBot,HR Queries,Logistics,Payroll Question,2025-01-04 04:34:00,88.8,Resolved,No,3.7,353,0.0302,85.7,No
CONV006838,ITHelpDesk-AI,IT Helpdesk,Logistics,Password Reset,2025-01-04 05:06:00,164.7,Pending,No,3.2,726,0.0476,79.6,No
CONV002568,SalesAssist-Pro,Sales Assistance,Healthcare,Product Recommendation,2025-01-04 05:23:00,110.7,Resolved,No,4.5,257,0.0329,88.0,No
CONV000004,ITHelpDesk-AI,IT Helpdesk,E-commerce,Hardware Request,2025-01-04 05:44:00,103.4,Resolved,No,3.5,247,0.0201,81.8,No
CONV000994,HR-FAQ-Agent,HR Queries,Logistics,Leave Balance,2025-01-04 05:59:00,96.8,Resolved,No,3.2,464,0.0343,88.0,No
CONV007148,OmniAssist-2,Customer Support,Logistics,Product Complaint,2025-01-04 06:03:00,142.4,Resolved,No,3.8,736,0.0374,96.9,No
CONV000208,ITHelpDesk-AI,IT Helpdesk,Retail,Access Request,2025-01-04 06:19:00,30.7,Escalated,Yes,2.2,180,0.025,90.0,No
CONV008448,SchedulerBot,Appointment Scheduling,Telecom,Cancellation,2025-01-04 06:46:00,69.5,Resolved,No,4.7,398,0.036,96.9,No
CONV009660,OmniAssist-2,Customer Support,Banking,Order Issue,2025-01-04 07:38:00,56.9,Resolved,No,3.9,567,0.0298,92.9,No
CONV002738,SchedulerBot,Appointment Scheduling,Healthcare,Book Appointment,2025-01-04 08:23:00,48.7,Resolved,No,4.4,115,0.0198,99.1,No
CONV006250,HR-FAQ-Agent,HR Queries,Healthcare,Leave Balance,2025-01-04 09:26:00,16.2,Resolved,No,4.3,309,0.0355,85.1,No
CONV003587,OmniAssist-2,Customer Support,Healthcare,Order Issue,2025-01-04 09:49:00,74.2,Resolved,No,4.4,346,0.0366,84.1,No
CONV003025,ITHelpDesk-AI,IT Helpdesk,Healthcare,Network Issue,2025-01-04 09:57:00,121.9,Resolved,No,3.9,559,0.0489,85.5,No
CONV002511,OmniAssist-2,Customer Support,Manufacturing,Product Complaint,2025-01-04 10:55:00,82.8,Resolved,No,4.1,702,0.0392,86.6,No
CONV001423,HR-FAQ-Agent,HR Queries,Banking,Leave Balance,2025-01-04 12:38:00,74.9,Resolved,No,3.3,450,0.0333,82.0,No
CONV004040,HR-FAQ-Agent,HR Queries,Healthcare,Onboarding Help,2025-01-04 13:18:00,47.6,Resolved,No,3.2,377,0.0331,95.2,No
CONV001731,KnowledgeFinder-X,Internal Knowledge Search,Healthcare,Compliance Query,2025-01-04 14:51:00,97.6,Resolved,No,5.0,284,0.0348,96.5,No
CONV001736,OmniAssist-2,Customer Support,E-commerce,Refund Request,2025-01-04 15:39:00,147.5,Resolved,No,4.1,500,0.0246,92.1,No
CONV009594,HR-FAQ-Agent,HR Queries,E-commerce,Leave Balance,2025-01-04 16:34:00,180.8,Resolved,No,4.3,393,0.0378,74.5,No
CONV000570,SalesAssist-Pro,Sales Assistance,EdTech,Discount Inquiry,2025-01-04 16:42:00,63.4,Resolved,No,4.1,390,0.0321,79.2,No
CONV003655,HR-FAQ-Agent,HR Queries,Banking,Policy Clarification,2025-01-04 17:27:00,54.7,Resolved,No,4.3,349,0.0337,89.3,No
CONV008520,SupportBot-v4,Customer Support,Manufacturing,Order Issue,2025-01-04 18:41:00,93.9,Resolved,No,4.7,284,0.0185,91.5,No
CONV008116,SalesAssist-Lite,Sales Assistance,Banking,Discount Inquiry,2025-01-04 18:44:00,99.5,Resolved,No,3.3,312,0.0273,81.7,Yes
CONV002159,HR-FAQ-Agent,HR Queries,Manufacturing,Onboarding Help,2025-01-04 19:03:00,128.1,Escalated,Yes,2.7,151,0.0314,76.9,No
CONV007246,HR-FAQ-Agent,HR Queries,Retail,Onboarding Help,2025-01-04 20:14:00,151.7,Resolved,No,4.3,505,0.0382,89.5,No
CONV005521,OmniAssist-2,Customer Support,Retail,Refund Request,2025-01-04 20:30:00,15.0,Resolved,No,4.2,225,0.021,83.7,No
CONV001422,HR-FAQ-Agent,HR Queries,Retail,Leave Balance,2025-01-04 21:37:00,240.7,Resolved,No,4.0,271,0.0261,81.3,No
CONV005953,HRQueryBot,HR Queries,Retail,Onboarding Help,2025-01-04 22:00:00,49.3,Escalated,Yes,3.7,681,0.0462,81.1,No
CONV004514,SchedulerBot,Appointment Scheduling,Telecom,Availability Check,2025-01-05 01:36:00,144.7,Pending,No,4.0,204,0.0333,99.0,No
CONV008957,IT-Legacy-Bot,IT Helpdesk,Retail,Software Bug,2025-01-05 02:05:00,77.8,Resolved,No,3.8,927,0.0494,77.4,Yes
CONV009467,HR-FAQ-Agent,HR Queries,Healthcare,Policy Clarification,2025-01-05 02:46:00,180.8,Resolved,No,3.7,182,0.0261,91.1,No
CONV008324,SalesAssist-Lite,Sales Assistance,Healthcare,Discount Inquiry,2025-01-05 03:19:00,276.2,Resolved,No,3.0,385,0.039,75.3,No
CONV008373,SchedulerBot,Appointment Scheduling,Logistics,Cancellation,2025-01-05 03:32:00,145.6,Resolved,No,4.0,115,0.0289,98.2,No
CONV001554,OmniAssist-2,Customer Support,Retail,Delivery Delay,2025-01-05 03:34:00,15.0,Resolved,No,4.6,247,0.0369,100.0,No
CONV003420,HRQueryBot,HR Queries,Healthcare,Policy Clarification,2025-01-05 05:04:00,234.1,Resolved,No,4.7,258,0.0359,87.7,No
CONV000750,HRQueryBot,HR Queries,Healthcare,Payroll Question,2025-01-05 05:26:00,34.4,Resolved,No,3.9,340,0.0227,85.7,No
CONV000375,SalesAssist-Lite,Sales Assistance,Healthcare,Product Recommendation,2025-01-05 06:32:00,83.8,Escalated,Yes,2.1,975,0.0428,94.6,No
CONV004298,SalesAssist-Pro,Sales Assistance,Telecom,Upsell Opportunity,2025-01-05 07:34:00,147.4,Resolved,No,4.0,1039,0.0405,90.6,No
CONV005588,SchedulerBot,Appointment Scheduling,Manufacturing,Availability Check,2025-01-05 07:36:00,83.2,Resolved,No,5.0,347,0.0352,92.3,No
CONV006440,SchedulerBot,Appointment Scheduling,Telecom,Book Appointment,2025-01-05 09:45:00,52.9,Resolved,No,4.9,130,0.0289,96.2,No
CONV009428,IT-Legacy-Bot,IT Helpdesk,Retail,Hardware Request,2025-01-05 12:16:00,78.9,Resolved,No,3.1,561,0.0492,72.2,No
CONV005748,KnowledgeFinder-X,Internal Knowledge Search,Retail,Process Question,2025-01-05 12:36:00,56.4,Resolved,No,4.8,1380,0.0597,96.0,No
CONV004330,HRQueryBot,HR Queries,Banking,Leave Balance,2025-01-05 13:04:00,119.5,Pending,No,3.4,421,0.0276,99.6,No
CONV000157,KnowledgeFinder-X,Internal Knowledge Search,Logistics,Process Question,2025-01-05 14:57:00,172.7,Resolved,No,4.1,496,0.0423,100.0,No
CONV004027,ITHelpDesk-AI,IT Helpdesk,E-commerce,Password Reset,2025-01-05 15:01:00,67.5,Resolved,No,3.5,157,0.0313,85.1,No
CONV000430,SalesAssist-Pro,Sales Assistance,Retail,Upsell Opportunity,2025-01-05 15:08:00,201.7,Resolved,No,4.9,348,0.0356,90.7,No
CONV004349,HRQueryBot,HR Queries,Telecom,Leave Balance,2025-01-05 15:38:00,84.4,Escalated,Yes,2.7,393,0.0238,90.9,No
CONV009024,ITHelpDesk-AI,IT Helpdesk,EdTech,Access Request,2025-01-05 15:39:00,34.4,Escalated,Yes,2.9,930,0.0638,65.4,No
CONV001345,SalesAssist-Pro,Sales Assistance,E-commerce,Pricing Question,2025-01-05 15:51:00,114.6,Pending,No,4.0,458,0.0306,81.7,No
CONV001716,SchedulerBot,Appointment Scheduling,E-commerce,Cancellation,2025-01-05 15:59:00,89.6,Resolved,No,4.6,408,0.0225,92.1,No
CONV001309,SchedulerBot,Appointment Scheduling,E-commerce,Cancellation,2025-01-05 16:37:00,63.7,Resolved,No,4.5,985,0.0348,89.2,No
CONV001444,HRQueryBot,HR Queries,Telecom,Payroll Question,2025-01-05 17:54:00,87.1,Resolved,No,3.5,585,0.031,95.6,No
CONV002795,HR-FAQ-Agent,HR Queries,Healthcare,Policy Clarification,2025-01-05 18:42:00,59.5,Resolved,No,4.6,95,0.0252,87.2,No
CONV003759,SalesAssist-Lite,Sales Assistance,E-commerce,Upsell Opportunity,2025-01-05 19:34:00,152.0,Escalated,Yes,2.5,393,0.0308,89.6,No
CONV004364,SupportBot-v4,Customer Support,EdTech,Product Complaint,2025-01-05 19:51:00,20.2,Pending,No,4.6,344,0.0237,87.0,No
CONV003485,OmniAssist-2,Customer Support,Manufacturing,General Inquiry,2025-01-05 20:07:00,38.7,Resolved,No,4.3,250,0.0318,82.5,No
CONV005308,HRQueryBot,HR Queries,Manufacturing,Leave Balance,2025-01-05 20:23:00,165.4,Resolved,No,3.8,382,0.0369,93.1,No
CONV004159,SupportBot-v4,Customer Support,Logistics,Delivery Delay,2025-01-05 20:29:00,43.1,Resolved,No,4.1,515,0.0224,91.0,No
CONV003796,SupportBot-v3,Customer Support,Healthcare,Delivery Delay,2025-01-05 21:30:00,33.3,Resolved,No,3.6,926,0.0597,78.4,No
CONV002249,SalesAssist-Pro,Sales Assistance,Banking,Pricing Question,2025-01-05 23:00:00,113.8,Resolved,No,5.0,904,0.0485,89.3,No
CONV006818,KnowledgeFinder-X,Internal Knowledge Search,Retail,Process Question,2025-01-05 23:11:00,184.5,Resolved,No,4.0,907,0.0481,79.8,No
CONV006518,SupportBot-v3,Customer Support,Manufacturing,General Inquiry,2025-01-06 01:43:00,79.7,Resolved,No,3.8,960,0.0566,91.6,No
CONV006479,SupportBot-v4,Customer Support,Telecom,Refund Request,2025-01-06 03:35:00,53.3,Resolved,No,4.6,519,0.0272,93.7,No
CONV005261,SupportBot-v3,Customer Support,Telecom,General Inquiry,2025-01-06 03:56:00,144.6,Resolved,No,3.7,408,0.0351,72.0,No
CONV008492,KnowledgeFinder-X,Internal Knowledge Search,Retail,Policy Lookup,2025-01-06 04:29:00,88.9,Resolved,No,4.7,531,0.0421,97.3,No
CONV003624,KnowledgeFinder-Lite,Internal Knowledge Search,Logistics,Process Question,2025-01-06 05:22:00,46.1,Resolved,No,3.6,89,0.0209,83.7,No
CONV004592,SalesAssist-Pro,Sales Assistance,Telecom,Pricing Question,2025-01-06 06:00:00,74.8,Resolved,No,4.4,210,0.0316,92.8,No
CONV001923,SalesAssist-Lite,Sales Assistance,Healthcare,Product Recommendation,2025-01-06 06:40:00,95.9,Escalated,Yes,2.7,440,0.0409,84.4,Yes
CONV008779,ITHelpDesk-AI,IT Helpdesk,Telecom,Access Request,2025-01-06 08:13:00,28.6,Escalated,Yes,2.9,292,0.0387,86.3,No
CONV005233,ITHelpDesk-AI,IT Helpdesk,Banking,Password Reset,2025-01-06 09:35:00,113.6,Resolved,No,3.5,494,0.0309,81.1,No
CONV009076,SalesAssist-Pro,Sales Assistance,Healthcare,Upsell Opportunity,2025-01-06 10:48:00,206.3,Resolved,No,3.7,521,0.0375,97.2,No
CONV004634,SchedulerBot,Appointment Scheduling,Manufacturing,Availability Check,2025-01-06 13:24:00,81.4,Resolved,No,5.0,331,0.0242,86.1,No
CONV003188,OmniAssist-2,Customer Support,Manufacturing,General Inquiry,2025-01-06 14:54:00,36.3,Pending,No,3.9,700,0.0366,83.6,No
CONV003452,OmniAssist-2,Customer Support,Manufacturing,Delivery Delay,2025-01-06 15:47:00,106.6,Escalated,Yes,2.0,299,0.0304,100.0,No
CONV008992,HR-FAQ-Agent,HR Queries,Logistics,Policy Clarification,2025-01-06 16:38:00,185.0,Resolved,No,3.1,400,0.0246,87.3,No
CONV005289,SupportBot-v3,Customer Support,Retail,Product Complaint,2025-01-06 18:43:00,73.3,Resolved,No,4.3,836,0.0476,83.0,No
CONV001371,KnowledgeFinder-X,Internal Knowledge Search,Healthcare,Compliance Query,2025-01-06 21:17:00,85.9,Resolved,No,4.9,213,0.0222,100.0,No
